global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gp,gpp,nu-err,sw-err,nu-ref,sw-ref
   36, 7,1, 7552.302236, 2.461E-32, 5.849E-08, 2011.2078,   69,   69,   73,5,4,1483,1484
   36, 7,1, 7563.402268, 1.105E-32, 2.566E-05, 3492.7590,   95,   95,   97,5,5,1483,1484
   36, 7,1, 7571.882535, 6.336E-32, 5.845E-08, 1803.1738,   65,   65,   69,5,4,1483,1484
   36, 7,1, 7578.302817, 4.007E-32, 2.568E-05, 3218.2518,   91,   91,   93,5,5,1483,1484
   36, 7,1, 7591.338002, 1.538E-31, 5.838E-08, 1606.3483,   61,   61,   65,5,4,1483,1484
   36, 7,1, 7593.060699, 1.375E-31, 2.571E-05, 2954.7217,   87,   87,   89,5,5,1483,1484
   36, 7,1, 7607.676489, 1.346E-32, 7.760E-07, 2702.2118,   83,   83,   85,5,4,1483,1484
   36, 7,1, 7607.676489, 4.459E-31, 2.571E-05, 2702.2118,   83,   83,   85,5,5,1483,1484
   36, 7,1, 7610.667513, 3.516E-31, 5.825E-08, 1420.7632,   57,   57,   61,5,4,1483,1484
   36, 7,1, 7620.248622, 9.200E-32, 2.640E-05, 2961.4676,   59,   59,   61,4,5,1179, 855
   36, 7,1, 7622.150638, 1.367E-30, 2.570E-05, 2460.7635,   79,   79,   81,5,5,1483,1484
   36, 7,1, 7622.150638, 3.914E-32, 7.359E-07, 2460.7635,   79,   79,   81,5,4,1483,1484
   36, 7,1, 7629.869836, 7.563E-31, 5.804E-08, 1246.4487,   53,   53,   57,5,4,1483,1484
   36, 7,1, 7633.901050, 1.974E-31, 2.638E-05, 2789.0821,   55,   55,   57,4,5,1179, 855
   36, 7,1, 7636.483476, 1.075E-31, 6.975E-07, 2230.4163,   75,   75,   77,5,4,1483,1484
   36, 7,1, 7636.483476, 3.960E-30, 2.569E-05, 2230.4163,   75,   75,   77,5,5,1483,1484
   36, 7,1, 7647.400653, 3.988E-31, 2.634E-05, 2627.8690,   51,   51,   53,4,6,1179, 855
   36, 7,1, 7648.943632, 1.529E-30, 5.775E-08, 1083.4332,   49,   49,   53,5,4,1483,1484
   36, 7,1, 7650.675212, 1.083E-29, 2.567E-05, 2011.2078,   71,   71,   73,5,5,1483,1484
   36, 7,1, 7650.675212, 2.788E-31, 6.608E-07, 2011.2078,   71,   71,   73,5,4,1483,1484
   36, 7,1, 7660.747059, 7.571E-31, 2.626E-05, 2477.8549,   47,   47,   49,4,6,1179, 855
   36, 7,1, 7664.725935, 2.796E-29, 2.564E-05, 1803.1738,   67,   67,   69,5,5,1483,1484
   36, 7,1, 7664.725935, 6.825E-31, 6.259E-07, 1803.1738,   67,   67,   69,5,4,1483,1484
   36, 7,1, 7667.887458, 2.901E-30, 5.736E-08,  931.7432,   45,   45,   49,5,4,1483,1484
